Internal ID,Identifier,Expressed,Purified,measured,max rate,mean rate
RBC4_45,TARA_037.SAMEA2619970.600.0.22-1.6_181232_40,True,True,True,7.3,7.3
RBC_66,gi|499792604|ref|WP_011473338.1|,True,False,False,,
RBC_67,gi|499792604|ref|WP_011473338.1|,True,True,True,11.8,8.266666666666667
RBC_49,gi|780831401|gb|KJS34037.1|,True,True,True,,
RBC4_20,gi|1174855780|ref|WP_081534969.1|,True,True,True,9.0,9.0
RBC2_46,gi|1131026884|ref|WP_075786462.1|,,,False,,
RBC4_22,gi|1172225070|ref|WP_080615823.1|,True,True,True,9.7,8.55
RBC_47,gi|755112147|ref|WP_042462841.1|,True,True,True,3.8,3.8
RBC_48,gi|1710033|sp|P50922.1|RBL2_RHOCA,,,False,,
RBC2_45,WP_097070532.1,,,False,,
RBC2_39,gi|502832577|ref|WP_013067553.1|,True,True,True,4.3,4.3
RBC2_44,gi|1062686077|ref|WP_069331322.1|,True,True,True,9.8,7.6000000000000005
RBC4_18,gi|1224981772|ref|WP_092996737.1|,True,True,True,4.8,4.8
RBC4_67,gi|1134122028|ref|WP_076365084.1|,True,True,True,10.4,7.5
RBC_3,gi|499658436|ref|WP_011339170.1|,True,False,False,,
RBC_35,gi|960369316|ref|WP_058261992.1|,,,False,,
RBCSeed_6,gi|1085072988|gb|OGS72457.1|,True,True,True,4.9,4.9
RBC4_70,gi|1224600589|ref|WP_092620206.1|,True,True,True,4.1,4.1
RBC_89,gi|491010518|ref|WP_004872227.1|,True,True,True,6.1,6.1
RBC_25,gi|497063801|ref|WP_009453497.1|,True,True,True,8.0,8.0
RBC4_50,gi|1128999363|ref|WP_075323289.1|,True,True,True,8.9,6.75
RBC_23,gi|363498367|gb|AAQ04822.2|AF463409_1,True,True,False,,
RBC_16,gi|84029424|sp|Q42813.2|RBL2_LINPO,True,True,False,,
RBC_50,gi|918715255|ref|WP_052580230.1|,True,True,True,16.3,16.3
RBC_33,gi|499759116|ref|WP_011439850.1|,True,True,True,6.6,5.4
RBCSeed_10,gi|1134157343|ref|WP_076400097.1|,True,True,True,5.0,2.85
RBC_7,gi|544702516|ref|WP_021133537.1|,True,True,True,,
RBC4_66,gi|1222432662|ref|WP_090484260.1|,True,True,True,7.2,7.2
Rr,gi|56565978|gb|AAV98336.1|,True,True,True,7.0,7.0
Rr[K191A],,True,True,True,,
RBC_20,,True,True,True,2.2,2.2
Rr[P449*],,True,False,False,,
Rr[N111G],,True,True,False,,
Rr[D117V],,True,False,True,4.9,4.15
RBC4_14,gi|494538|pdb|1RBA|A,True,True,True,,
RBC_22,gi|269148484|gb|ACZ28625.1|,True,True,True,4.7,4.45
RsI,,,,False,,
RBCSeed_5,gi|1004818558|gb|KYC44365.1|,,,False,,
RBC_54,gi|299768244|gb|ADJ38508.1|,True,False,False,,
RBCSeed_27,gi|873238130|emb|CEL96598.1|,True,False,False,,
RBCSeed_2,cg1_0.2_scaffold_107_c_58,True,True,True,,
RBCSeed_15,gi|503485760|ref|WP_013720421.1|,True,True,False,,
RBC_10,TARA_039.SAMEA2620106.270.0.1-0.22_11384_3,True,False,True,,
RBC_11,TARA_137.SAMEA2623314.375.0.22-3_2564031_4,True,True,True,,
RBC_14,gi|11545461|gb|AAG37859.1|AF298221_1,True,True,True,0.2,0.2
RBCSeed_12,gi|269148490|gb|ACZ28630.1|,True,True,False,,
RBC_39,TARA_037.SAMEA2619974.600.0.1-0.22_9014_14,True,True,True,0.1,0.1
RBC4_1,gi|589604584|gb|EXI76444.1|,True,False,True,,
RBC2_49,gi|851262160|ref|WP_048136654.1|,True,False,False,,
RBC3_2,WP_048136654.1,True,False,False,,
RBCSeed_18,gi|563352309|gb|AHB41464.1|,True,True,True,,
RBC4_5,gi|505138192|ref|WP_015325294.1|,True,True,True,,
RBCSeed_19,gi|652938341|ref|WP_027191928.1|,,,False,,
RBC4_6,gi|503663498|ref|WP_013897574.1|,True,False,True,0.2,0.2
RBC_32,gi|851283698|ref|WP_048147752.1|,True,True,True,,
